,ref,company_manufacturer,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,ingredients,most_memorable_characteristics,rating
1679,135,Neuhaus (Callebaut),Belgium,2007,Blend,Dark,73%,"5- B,S,C,V,L","pastey, strong off flavor",1.0
1680,230,Neuhaus (Callebaut),Belgium,2008,Trinidad,Manickchand Estate,67%,"5- B,S,C,V,L","complex, intense banana",3.75
1681,531,Neuhaus (Callebaut),Belgium,2010,Papua New Guinea,Papua New Guinea,70%,"5- B,S,C,V,L","gritty, vanilla, non-descript",2.5
1682,1526,Nibble,U.S.A.,2015,Venezuela,Patanemo,72%,"2- B,S","molasses, nut, roasty, bitter",2.25
1683,1526,Nibble,U.S.A.,2015,Dominican Republic,Elvesia P.,72%,"2- B,S","molasses, rum, tea",2.75
1684,1526,Nibble,U.S.A.,2015,Madagascar,"Ambanja, Sambirano Valley",72%,"2- B,S","molasses, bright fruit",3.0
1685,1526,Nibble,U.S.A.,2015,Peru,Tumbes,72%,"2- B,S","molasses, malt, raisin",3.0
1686,2134,Nibble,U.S.A.,2018,Brazil,Bahia,72%,"2- B,S",notes from sugar,3.0
1687,1022,Night Owl,U.S.A.,2013,Peru,Peru,75%,"3- B,S,C","spicy, red fruit, raisins",2.75
1688,1022,Night Owl,U.S.A.,2013,Ecuador,Ecuador,75%,"3- B,S,C","single note, spicy",3.5
1689,2398,Nikoa,Ecuador,2019,Ecuador,"Los Rios, Dec. 2018 H., Batch 2",72%,"3- B,S,C","floral, cocoa, creamy",3.75
1690,2142,Nina,Peru,2018,Peru,Chazuta,70%,"3- B,S,C","pungent, grape, sour",3.0
1691,2162,Ninth (9th) & Larkin,U.S.A.,2018,Vietnam,"Ben Tre, batch VNBT186",72%,"3- B,S,C","spicy, vanilla, sweet",2.75
1692,2158,Ninth (9th) & Larkin,U.S.A.,2018,Tanzania,"Kokoa Kamili, Kilobmbero batch TK186",72%,"3- B,S,C","sweet, melon notes",3.0
1693,2174,Ninth (9th) & Larkin,U.S.A.,2018,Dominican Republic,Oko Caribe,72%,"3- B,S,C","basic cocoa, sour ending",3.0
1694,2282,Ninth (9th) & Larkin,U.S.A.,2019,Fiji,"Matasawalevu, batch FJMA1",74%,"3- B,S,C","sour, rubbery, off",2.75
1695,2394,Ninth (9th) & Larkin,U.S.A.,2019,Colombia,"Sierra Nevada, batch CSN192",72%,"3- B,S,C","strong base cocoa, rubber",3.25
1696,1295,Noble Bean aka Jerjobo,U.S.A.,2014,Ghana,Ghana,75%,"4- B,S*,V,L","nutty, high roast, spice",3.0
1697,1299,Noble Bean aka Jerjobo,U.S.A.,2014,Belize,Moho Valley,75%,"4- B,S*,V,L","coconut, mild metallic",3.0
1698,1299,Noble Bean aka Jerjobo,U.S.A.,2014,Peru,Maranon Canyon,75%,"4- B,S*,V,L","roasty, mild orange",3.25
1699,837,Noir d' Ebine,U.S.A.,2012,Venezuela,Venezuela,70%,,"sweet, candy like, dairy",3.0
1700,841,Noir d' Ebine,U.S.A.,2012,Ecuador,Ecuador,70%,,"sweet, spicy, cocoa",3.0
1701,935,Nova Monda,Nicaragua,2012,Nicaragua,"La Dalia, Matagalpa,cacao Bisesto,green label",75%,"2- B,S","fatty, honey, earthy",2.75
1702,931,Nova Monda,Nicaragua,2012,Nicaragua,"La Patriota, cacao Indio, purple label",70%,"2- B,S","woody, coffee,roasted cherry",3.0
1703,935,Nova Monda,Nicaragua,2012,Ecuador,"Punta Galera, cacao Nacional, gold label",80%,"2- B,S","sandy, strawberries",3.25
1704,1458,Nuance,U.S.A.,2015,Ecuador,"Ecuador, 2013",70%,"2- B,S","earthy, roasted nuts",2.75
1705,1458,Nuance,U.S.A.,2015,Venezuela,"Canoabo, 2013, batch 2642",70%,"2- B,S","intense, slightly burnt",3.0
1706,1458,Nuance,U.S.A.,2015,Madagascar,"Sambirano Valley, 2012, batch 3062",70%,"2- B,S","fruity, sour, high astringent",3.5
1707,1454,Nuance,U.S.A.,2015,Ghana,"Ghana, 2013, batch 3581",70%,"2- B,S","rich, cherry, smoke, cocoa",3.75
1708,1470,Nuance,U.S.A.,2015,Dominican Republic,La Red,70%,"2- B,S","rich, mild smoke, red fruit",3.75
1709,2486,Nuance,U.S.A.,2020,Nigeria,"Akwa Ibom, 2017 h., batch 19762",70%,"3- B,S,C","cocoa, nut, dried fruit, rubbery",3.0
1710,2486,Nuance,U.S.A.,2020,Vietnam,"Lam Dong, 2016 h., batch 20111",70%,"3- B,S,C","spicy, cocoa, hammy",3.25
1711,1876,Nugali,Brazil,2016,Brazil,Fazenda Leolinda,70%,"3- B,S,C","nutty, banana, cocoa",3.5
1712,478,Oakland Chocolate Co.,U.S.A.,2010,Jamaica,Jamaica,70%,"5- B,S,C,V,L","grassy, vanilla, burnt",2.5
1713,1638,Obolo,Chile,2015,Peru,"Pangoa, w/ nibs",70%,"2- B,S","creamy, roasty, mild grape",3.75
1714,2386,Obolo,Chile,2019,Peru,"Pangoa, 2018,  batch 1584 - E",70%,"2- B,S","intense grapes, sweet cocoa",3.75
1715,1558,Ocelot,Scotland,2015,Congo,Virunga,70%,"3- B,S,C","melon, earthy, tobacco",3.75
1716,1558,Ocelot,Scotland,2015,Peru,Piura,75%,"3- B,S,C","peanut butter, raspberry",4.0
1717,1411,Ocho,New Zealand,2014,Papua New Guinea,"PNG, Devotion, batch 96, gogol naru",66%,"2- B,S","smoke, sour fruit, hammy",2.75
1718,1411,Ocho,New Zealand,2014,Papua New Guinea,"PNG, Revolution, WAG1",70%,"2- B,S","smoke, sour fruit, hammy",3.0
1719,1411,Ocho,New Zealand,2014,Papua New Guinea,"PNG, Voodoo, batch 95",88%,"2- B,S","intense, bitter, sour, smokey",3.25
1720,1411,Ocho,New Zealand,2014,Papua New Guinea,"PNG, Nib Bar, WAG1",74%,"2- B,S","smokey, intense, coffee",3.5
1721,1760,Ocho,New Zealand,2016,Samoa,Sang Yum Coop,100%,1- B,"bitter, intense, nutty",2.75
1722,1760,Ocho,New Zealand,2016,Samoa,Sang Yum Coop,70%,"2- B,S","cocoa, roasty, nutty",3.5
1723,2490,Odyssey,U.S.A.,2020,Guatemala,Cahabon,70%,"2- B,S","damp woody, leather, cocoa",3.0
1724,2494,Odyssey,U.S.A.,2020,Tanzania,Kokoa Kamili,70%,"2- B,S","sour banana, muted",3.0
1725,2494,Odyssey,U.S.A.,2020,Uganda,Bundibugyo,70%,"2- B,S","dominant hazelnut, fudge",3.25
1726,2494,Odyssey,U.S.A.,2020,India,Idukki Hills,70%,"2- B,S","intense tart, sourness",3.25
1727,2498,Odyssey,U.S.A.,2020,Colombia,Arhuaca,70%,"2- B,S","walnut, tobacco, grassy",3.25
1728,2494,Odyssey,U.S.A.,2020,Bolivia,"Tranquilidad, Wild",70%,"2- B,S","silky smooth, cherry, cocoa",3.75
1729,2498,Odyssey,U.S.A.,2020,Vietnam,Ben Tre,70%,"2- B,S","complex,cranberry,malt, vanilla",3.75
1730,2582,Odyssey,U.S.A.,2021,Blend,"Elegant Asian Blend"", Vietnam, India",100%,1- B,"sharp fruit, intense, sl. Sour",3.0
1731,2704,Odyssey,U.S.A.,2021,Venezuela,Chuao,80%,"2- B,S","berries, burnt, rubbery, off",3.0
1732,2582,Odyssey,U.S.A.,2021,U.S.A.,Hawaii Kona,70%,"2- B,S","burnt fudge, nutty",3.25
1733,2696,Odyssey,U.S.A.,2021,Peru,Ucayali,70%,"2- B,S","deep cocoa, cherry, slight ashy",3.25
1734,2704,Odyssey,U.S.A.,2021,Venezuela,Chuao,70%,"2- B,S","strong start, fruity, acidic",3.5
1735,2566,Odyssey,U.S.A.,2021,Haiti,Pisa,70%,"2- B,S","blackberry, tang",3.75
1736,1594,Ohiyo,U.S.A.,2015,Trinidad,"San Juan Estate, Gran Couva",70%,"3- B,S,C","off notes, sour, roasty",2.75
1737,1598,Ohiyo,U.S.A.,2015,Tanzania,Tanzania,70%,"3- B,S,C","sweet,sandy, fruit, pungent",3.0
1738,761,Oialla by Bojessen (Malmo),Germany,2011,Bolivia,"Sylvestre, Oialla",70%,"2- B,S","rich cocoa, one dimensional",3.5
1739,2142,Oialla by Bojessen (Malmo),Germany,2018,Brazil,Beniano,78%,"3- B,S,C","creamy, cherry, acidic",3.75
1740,457,Olive and Sinclair,U.S.A.,2009,Blend,"Dark 67, Ghana, Domin. Rep",67%,"3- B,S,C","sandy, cheese, sour",2.75
1741,457,Olive and Sinclair,U.S.A.,2009,Blend,"Dark 75, Ghana, Domin. Rep",75%,"3- B,S,C","fatty,cheese, musty",3.0
1742,486,Olive and Sinclair,U.S.A.,2010,Dominican Republic,Dominican Republic prototype,72%,"3- B,S,C","earthy, cheesy",3.0
1743,486,Olive and Sinclair,U.S.A.,2010,Ghana,Ghana prototype,72%,"3- B,S,C","gritty, simple cocoa, burnt",3.0
1744,688,Olivia,Canada,2011,Blend,Carribean-Raw,76%,"5- B,S,C,V,L","intense, medicinal, leathery",2.0
1745,688,Olivia,Canada,2011,Blend,Carribean,76%,"5- B,S,C,V,L","rubber, cocoa, bitter",2.75
1746,688,Olivia,Canada,2011,Blend,Carribean,85%,"5- B,S,C,V,L","creamy, medicinal, mint, bitter",2.75
1747,688,Olivia,Canada,2011,Blend,Carribean-Raw,85%,"5- B,S,C,V,L","sticky, berry, bitter",3.0
1748,693,Omanhene,Ghana,2011,Ghana,Ghana,80%,"4- B,S,C,L","grits, strong vanilla, brownie",2.75
1749,1247,Omnom,Iceland,2014,Papua New Guinea,Papua New Guinea,70%,"3- B,S,C",intensely smokey,3.0
1750,1247,Omnom,Iceland,2014,Madagascar,Madagascar,66%,"3- B,S,C","red berry, mild molasses",3.5
1751,1816,Omnom,Iceland,2016,Tanzania,"Kakao Kamili, Kilombero Valley",70%,"3- B,S,C","sweet, dried fruit, gateway",3.75
1752,2036,Omnom,Iceland,2018,Nicaragua,Nicaragua,73%,"3- B,S,C","intense spice, coarse",3.0
1753,2514,Or Dubh,U.S.A.,2020,Madagascar,"Sambirano, Northern Ambanja, 2018 Harvest",70%,"2- B,S","sweet, tart, raisin, sour ending",3.25
1754,2518,Or Dubh,U.S.A.,2020,Vietnam,"Ben Tre, Mekond Delta, 2018 H.",70%,"2- B,S","roast dominates,spicy,astringent",3.25
1755,2518,Or Dubh,U.S.A.,2020,Tanzania,"Kokoa Kamili, Kilombero Valley, 2018 H.",70%,"2- B,S","sweet edge, dried fruit, lemon",3.5
1756,2680,Orfeve,Switzerland,2021,Colombia,"Tumaco, 2019 Harvest, b. 3/8-2",75%,"3- B,S,C","burnt honey, rubbery",2.75
1757,2676,Orfeve,Switzerland,2021,Peru,"San Ignacio, 2020 Harvest, Cajamarca, b. 6/10-1",70%,"3- B,S,C","caramel, honey, roasty",3.25
1758,2680,Orfeve,Switzerland,2021,Peru,"Piura, Gran Blanco, 2019 Harvest, b. 7/9-2",75%,"3- B,S,C","grape, punchy, deep cocoa",3.25
1759,2676,Orfeve,Switzerland,2021,Madagascar,"Bejofo Estate, 2019 Harvest, b. 4/6-2",75%,"3- B,S,C","tart, green apple, rich",3.5
1760,1161,organicfair,Canada,2013,Belize,Maya Mountain,74%,"3- B,S,C","sandy, ashey, mild fruit",2.75
1761,1165,organicfair,Canada,2013,Dominican Republic,La Red,72%,"3- B,S,C","sandy, roasty, fruity",2.75
1762,1165,organicfair,Canada,2013,Nicaragua,Nicaraqua,72%,"3- B,S,C","grits, roasty, woody",2.75
1763,1165,organicfair,Canada,2013,Dominican Republic,Caribe,72%,"3- B,S,C","sandy, cinamon, high roast",3.0
1764,1165,organicfair,Canada,2013,Ecuador,Mindo,72%,"3- B,S,C","spicy, sweet, high roast",3.0
1765,2076,organicfair,South Africa,2018,Panama,Panama,71%,"3- B,S,C","fatty, bland, some spice",3.0
1766,331,Original Beans (Felchlin),Switzerland,2009,Congo,"D.R. Congo, Cru Virunga",70%,"3- B,S,C",vegetable and honey,3.0
1767,341,Original Beans (Felchlin),Switzerland,2009,Peru,"Piura, Apotequil, ""Porcelana"" 72hr c.",75%,"3- B,S,C","creamy, sour banana, lemon",3.0
1768,341,Original Beans (Felchlin),Switzerland,2009,Bolivia,"Alto Beni, Wild Harvest, Itenez R., 60hr c.",68%,"3- B,S,C","rich cocoa, bread notes",3.25
1769,733,Original Beans (Felchlin),Switzerland,2011,Bolivia,"Alto Beni, Wild Harvest, Itenez R. 24hr c.",66%,"3- B,S,C","creamy, melon, subtle",3.75
1770,1438,Original Beans (Felchlin),Switzerland,2014,Papua New Guinea,Papua Kerafat,68%,"3- B,S,C","fatty, dates, musty",2.75
1771,1442,Original Beans (Felchlin),Switzerland,2014,Blend,"Grand Cru Blend No.1, 5 yr. Anniversary Ed",80%,"2- B,S","creamy, mild bitter, coffee",3.25
1772,24,Original Hawaiin Chocolate Factory,U.S.A.,2006,U.S.A.,"Hawai'i Island, Kona Estate, Hualalai Mtn",60%,"5- B,S,C,V,L","muddy, pastey, sweet, vanilla",3.0
1773,316,Original Hawaiin Chocolate Factory,U.S.A.,2009,U.S.A.,"Hawai'i Island, Kona Grand Cru E.",60%,"5- B,S,C,V,L","sticky, tobacco",3.0
1774,859,Orquidea,Peru,2012,Peru,Peru,65%,"4- B,S,C,L","dry, banana, molasses",3.0
1775,859,Orquidea,Peru,2012,Peru,Peru,72%,"4- B,S,C,L","sandy, molasses, brownie",3.0
1776,266,Pacari,Ecuador,2008,Ecuador,Raw,100%,,"bitter, earthy",2.0
1777,224,Pacari,Ecuador,2008,Ecuador,Esmeraldas,60%,"4- B,S,C,L","floral, rubber, vanilla, metallic",2.75
1778,224,Pacari,Ecuador,2008,Ecuador,Los Rios,72%,"4- B,S,C,L","sandy, rubber, spice, floral",3.0
1779,224,Pacari,Ecuador,2008,Ecuador,Manabi,65%,"4- B,S,C,L","creamy, sweet, green",3.0
1780,266,Pacari,Ecuador,2008,Ecuador,Raw,70%,"4- B,S,C,L","sandy, green, spice, nuts",3.5
1781,721,Pacari,Ecuador,2011,Ecuador,Nube- prototype,70%,"4- B,S,C,L","waxy, sandy, floral",3.5
1782,817,Pacari,Ecuador,2012,Ecuador,"Ecuador, raw",85%,"4- B,S,C,L","spice, mostly bitter",2.75
1783,863,Pacari,Ecuador,2012,Peru,Piura,70%,"4- B,S,C,L","light color,complex,molasses",4.0
1784,1415,Pacari,Ecuador,2014,Ecuador,Garaua,70%,"4- B,S,C,L","floral, green, tannic",3.25
1785,1415,Pacari,Ecuador,2014,Ecuador,Cumbia,70%,"4- B,S,C,L","savory, smokey",3.5
1786,1415,Pacari,Ecuador,2014,Ecuador,Montubia,70%,"4- B,S,C,L","creamy, green fruit, candied",3.75
1787,1415,Pacari,Ecuador,2014,Ecuador,Tangara,70%,"4- B,S,C,L","creamy, spicy, cocoa",4.0
1788,1848,Pacari,Ecuador,2016,Colombia,"Sierra Nevada, Tutu Iku",70%,"4- B,S,C,L","complex, balanced",4.0
1789,2234,Palet D'Or,Japan,2018,Vietnam,Vietnam,72%,"5- B,S,C,V,L","molasses, tart, vegetal",3.25
1790,2230,Palet D'Or,Japan,2018,Haiti,Haiti,70%,"5- B,S,C,V,L","vanilla, sweet, gateway",3.5
1791,2234,Palet D'Or,Japan,2018,Cuba,Cuba,72%,"5- B,S,C,V,L","creamy, tobacco, cocoa",3.75
1792,1239,Palette de Bine,Canada,2014,Bolivia,"Alto Beni, Palos Blancos",72%,"2- B,S","vinegar, sour",2.75
1793,1303,Palette de Bine,Canada,2014,Ecuador,"Camino Verde P., Balao, Guayas",75%,"2- B,S","earthy, nutty, black pepper",2.75
1794,1399,Palette de Bine,Canada,2014,Blend,Duo- Gran Couva & Camino Verde,75%,"2- B,S","intense floral, slight woody",3.5
1795,1239,Palette de Bine,Canada,2014,Madagascar,Sambirano,78%,"2- B,S","red fruit, intense, bright",3.75
1796,1399,Palette de Bine,Canada,2014,Trinidad,Gran Couva,70%,"2- B,S","mellow, fruity, brownie",3.75
1797,1570,Palette de Bine,Canada,2015,Bolivia,"Silvestre, La Paz, Beni",70%,"2- B,S","slow, sweet, spicy",3.25
1798,1570,Palette de Bine,Canada,2015,Trinidad,"San Juan Estate, Gran Couva",70%,"2- B,S*","maple, spicy, cocoa",3.25
1799,1574,Palette de Bine,Canada,2015,Tanzania,Kokoa Kamili,72%,"2- B,S","rich cocoa, dried fruit",3.5
1800,1574,Palette de Bine,Canada,2015,Vietnam,Lam Dong,72%,"2- B,S","cocoa, melon, dairy",3.75
1801,1720,Palette de Bine,Canada,2016,Guatemala,Lachua,70%,"2- B,S","fruity, off rubber",2.75
1802,1720,Palette de Bine,Canada,2016,Belize,Maya Mtn,72%,"2- B,S","strawberry, savory",3.0
1803,1992,Palette de Bine,Canada,2017,Peru,Maranon,72%,"2- B,S","grape, pungent, off sour",2.75
1804,2000,Palette de Bine,Canada,2017,Dominican Republic,Dominican Republic,75%,"2- B,S","creamy, burnt rubber, off",2.75
1805,1992,Palette de Bine,Canada,2017,Haiti,Pisa,70%,"2- B,S","sticky, bold, nutty, fig",3.5
1806,2286,Palette de Bine,Canada,2019,Peru,"Maranon, batch 28",70%,"2- B,S","intense spicy, floral",3.5
1807,1860,Pangea,Spain,2016,Fiji,Matasawalevu,76%,"2- B,S","intense, bitter, spicy",3.0
1808,2334,Pangea,Spain,2019,Bolivia,"Alto Beni, batch 100518",76%,"2- B,S","harsh, tobacco, roasty",2.75
1809,2334,Pangea,Spain,2019,Philippines,South Cotabato,76%,"2- B,S","burnt caramel, coffee",3.0
1810,2298,Pangea,Spain,2019,Belize,Maya Mtn,75%,"2- B,S","fig, sour, rubbery",3.25
1811,2298,Pangea,Spain,2019,Madagascar,Sambirano,76%,"2- B,S","fruit, sour, roasty",3.25
1812,2302,Pangea,Spain,2019,Dominican Republic,Caribe,76%,"2- B,S","cocoa, earthy, roasty",3.25
1813,2302,Pangea,Spain,2019,Peru,Chilique,71%,"2- B,S","sandy, fruit, cocoa, sour",3.5
1814,1363,Park 75,U.S.A.,2014,Blend,South America,65%,"3- B,S,V","mild nutty, basic cocoa",3.5
1815,1251,Parliament,U.S.A.,2014,Bolivia,Alto Beni,70%,"2- B,S","gritty, woody, acidic",3.0
1816,1255,Parliament,U.S.A.,2014,Dominican Republic,"Oko Caribe, batch 4",70%,"2- B,S","mild spice, grapes",3.5
1817,1542,Parliament,U.S.A.,2015,Guatemala,"Lachua, Q'egchi families",70%,"2- B,S","intense, blackberry, acidic",3.5
1818,1856,Parliament,U.S.A.,2016,Tanzania,Kilombero Valley,70%,"2- B,S","sour, earthy, roasty",3.25
1819,2274,Parre Chocolat,U.S.A.,2019,Guatemala,Guatemala,75%,"3- B,S,C","fatty, woody, poor aftertaste",2.75
1820,2274,Parre Chocolat,U.S.A.,2019,Dominican Republic,Dominican Republic,75%,"3- B,S,C","rubbery, buttery, soil",2.75
1821,2278,Parre Chocolat,U.S.A.,2019,Colombia,Colombia,75%,"3- B,S,C","nut, roasty, high astringent",3.0
1822,1137,Pascha,Peru,2013,Peru,Peru,55%,"4- B,S,C,V","gritty, sweet, off",2.5
1823,1137,Pascha,Peru,2013,Peru,Peru,70%,"4- B,S,C,V","gritty, earthy, melon",2.75
1824,196,Patric,U.S.A.,2007,Madagascar,Madagascar,70%,"3- B,S,C","mild tart, wine, red fruit, long",4.0
1825,439,Patric,U.S.A.,2009,Madagascar,Madagascar,67%,"3- B,S,C","creamy, fruit forward, rich",3.5
1826,439,Patric,U.S.A.,2009,Venezuela,"Rio Caribe, Paria Penninsula",70%,"3- B,S,C","earthy, nutty",3.5
1827,331,Patric,U.S.A.,2009,Madagascar,Madagascar,75%,"3- B,S,C","simple red berry, rich, long",4.0
1828,636,Patric,U.S.A.,2011,Blend,Signature Blend,70%,"3- B,S,C","smooth, red berry, cocoa",3.75
1829,1034,Patric,U.S.A.,2013,Peru,"Piura, Choc. Garage Exclusive",67%,"3- B,S,C","creamy, cocoa, grapes",4.0
1830,1271,Paul Young,U.K.,2014,Madagascar,"Madagascar, w/ shell",73%,"2- B,S*","sticky, mild citrus, earthy",2.25
1831,1271,Paul Young,U.K.,2014,Madagascar,"Madagascar, w/ shell",64%,"2- B,S*","coarse, sweet, tart, earthy",2.75
1832,1454,Peppalo,U.S.A.,2015,Dominican Republic,Dominican Republic,82%,"3- B,S,C","coarse, earthy, sweet",3.0
1833,2258,Perrenial,U.S.A.,2018,Fiji,Fiji,75%,"3- B,S*,C","mild smokey, black licorice",3.0
1834,2294,Petite Patrie,Canada,2019,Peru,"Ucayali, batch PR-17",70%,"4- B,S,C,L","off aroma, anise, dried fruit",3.25
1835,93,Pierre Marcolini,Belgium,2006,Indonesia,"Kendem Lembu, Java",72%,"5- B,S,C,V,L","red fruit, smokey, sour",3.0
1836,93,Pierre Marcolini,Belgium,2006,Venezuela,"Ocumare, Puerto Cabello, Venezuela",72%,"5- B,S,C,V,L","rich cocoa, marshmallow",3.75
1837,81,Pierre Marcolini,Belgium,2006,Mexico,"Porcelana, Tabasco,  Limited Ed.",72%,"5- B,S,C,V,L","mild tart, long and rich",4.0
1838,166,Pierre Marcolini,Belgium,2007,Blend,"Fleur de Cacao, Venezuela/ Ghana",85%,"5- B,S,C,V,L","cinamon, bitter aftertaste",3.5
1839,129,Pierre Marcolini,Belgium,2007,Ecuador,"Los Rios, Puerto Romero, Equateur",72%,"5- B,S,C,V,L","creamy, cocoa, grassy",3.75
1840,111,Pierre Marcolini,Belgium,2007,Blend,"Cabosse, Venezuela, Java",70%,"5- B,S,C,V,L","rich cocoa, tart citrus",4.0
1841,141,Pierre Marcolini,Belgium,2007,Madagascar,"Sambirano, Ambanja, Madagascar",72%,"5- B,S,C,V,L","tangy, floral, spicy, cocoa",4.0
1842,414,Pierre Marcolini,Belgium,2009,Brazil,"Bahia Brazil, Fazenda Sao Pedro",72%,"5- B,S,C,V,L","smokey, floral, mild",3.0
1843,445,Pierre Marcolini,Belgium,2009,Mexico,"Porcelana, Tabasco,  Finca La Joya",72%,"5- B,S,C,V,L","bland, subtle dairy, burning",3.0
1844,478,Pierre Marcolini,Belgium,2010,Venezuela,Chuao,75%,"5- B,S,C,V,L","strong vanilla, nutty, spicey",3.0
1845,531,Pierre Marcolini,Belgium,2010,Peru,"Peru, Las Pampas P.",85%,"5- B,S,C,V,L","bitter, coffee, cocoa",3.0
1846,478,Pierre Marcolini,Belgium,2010,Trinidad,Trinite,75%,"5- B,S,C,V,L",berry notes with sweet edge,3.25
1847,516,Pierre Marcolini,Belgium,2010,Cuba,Baracoa,78%,"5- B,S,C,V,L","chunky, rich and spicy",3.75
1848,1658,Pierre Marcolini,Belgium,2015,Cameroon,"Haut Penja, w/ nibs",70%,"5- B,S,C,V,L","mild fruit, woody",3.25
1849,2342,Pierre Marcolini,Belgium,2019,Madagascar,"Sambirano, Rieur, Ambanja",76%,"4- B,S,C,L","powdery, roasty, off flavor",3.0
1850,2342,Pierre Marcolini,Belgium,2019,Cameroon,"Haut Penja, Transporte",70%,"4- B,S,C,L","rich cocoa, off flavor",3.0
1851,2700,Pierre Marcolini,Belgium,2021,China,"Hainan, lot 218012",72%,"4- B,S,C,L","fruity, rich, grassy",3.5
1852,2462,Piety and Desire,U.S.A.,2020,Vietnam,"Dak Nong, batch 405",70%,"3- B,S,C","swiss miss, pistachio, rich",3.0
1853,2462,Piety and Desire,U.S.A.,2020,Tanzania,"Kokoa Kamili, Kilombero Valley, batch 304",70%,"3- B,S,C","sweet, cream, cherry, rich",3.5
1854,2462,Piety and Desire,U.S.A.,2020,India,Kerla,73%,"3- B,S,C","creamy, fruity, mocha",3.5
1855,1772,Pinellas,U.S.A.,2016,Honduras,Wampusirpi Region,80%,"4- B,S,V,L","banana, earthy ending",2.5
1856,1315,Pitch Dark,U.S.A.,2014,Fiji,Namau Village,73%,"2- B,S","intense smoke, medicinal",2.5
1857,1311,Pitch Dark,U.S.A.,2014,Madagascar,Akesson Estate,73%,"2- B,S","intense, dried fruit, roasty",3.25
1858,1319,Pitch Dark,U.S.A.,2014,Ecuador,"Camino Verde P., Balao, Guayas, ""Fruity""",73%,"2- B,S","tobacco, woody, rum",3.25
1859,1319,Pitch Dark,U.S.A.,2014,Ecuador,"Camino Verde P., Balao, Guayas, ""Floral""",73%,"2- B,S","intense, floral, leather",3.5
1860,1506,Pitch Dark,U.S.A.,2015,Nicaragua,Tenor,62%,"3- B,S,C","coarse, earthy, metal, sweet",2.5
1861,1506,Pitch Dark,U.S.A.,2015,Nicaragua,Johe,80%,"2- B,S","dry, sandy, earthy, leathery",2.75
1862,1510,Pitch Dark,U.S.A.,2015,Nicaragua,Chuno,80%,"3- B,S,C","metal, earthy, pungent",2.75
1863,1510,Pitch Dark,U.S.A.,2015,Nicaragua,Nicalizo,80%,"3- B,S,C","metal, molasses, roasty",2.75
1864,1510,Pitch Dark,U.S.A.,2015,Nicaragua,Rugoso,80%,"2- B,S","chunky, dairy, nutty, rich",3.25
1865,2530,Pollinator,U.S.A.,2020,Bolivia,"Tranquilidad, ""Wild Bolivia""",70%,"3- B,S,C","sandy, dried fruit, earthy",3.0
1866,2530,Pollinator,U.S.A.,2020,Dominican Republic,Zorzal Plantation,70%,"3- B,S,C","slightly bitter, earthy, fruity",3.0
1867,2530,Pollinator,U.S.A.,2020,Tanzania,Tanzania,70%,"3- B,S,C","raisins, grapes, tart",3.25
1868,829,Pomm (aka Dead Dog),U.S.A.,2012,Dominican Republic,"La Red, 2011",76%,"3- B,S,C","molasses, banana, chemical",2.5
1869,829,Pomm (aka Dead Dog),U.S.A.,2012,Peru,"Peru, batch 1",82%,"3- B,S,C","dry, red berry, off note",2.75
1870,2582,Poppy and Peep,U.S.A.,2021,Haiti,Haiti,71%,"3- B,S,C","sweet, spoiled milk, vegetal",2.75
1871,2582,Poppy and Peep,U.S.A.,2021,Guatemala,Guatemala,76%,"3- B,S,C",tart with woody undertones,3.0
1872,2586,Poppy and Peep,U.S.A.,2021,Ghana,Ghana,66%,"3- B,S,C","extra sweet, nutty, deep cocoa",3.0
1873,607,Potomac,U.S.A.,2010,Costa Rica,"Upala, Batch 12",82%,"2- B,S","bright red fruit,smoke,powerful",3.75
1874,789,Potomac,U.S.A.,2011,Peru,"San Martin, Amazonian Highlands",70%,"2- B,S","grassy, earthy",2.75
1875,654,Potomac,U.S.A.,2011,Costa Rica,"Upala, Batch 18",70%,"2- B,S","fudgey, mild smoke",3.0
1876,647,Potomac,U.S.A.,2011,Costa Rica,Upala w/ nibs,70%,"2- B,S","grass,chewy,nibs add bitterness",3.5
1877,789,Potomac,U.S.A.,2011,Brazil,Bahia,70%,"2- B,S","mint, candied",3.5
1878,1387,Potomac,U.S.A.,2014,Venezuela,"Cuyagua, 2013",70%,"2- B,S","mildy nutty, cocoa, spice",3.75
1879,1820,Potomac,U.S.A.,2016,Dominican Republic,"Oko Caribe, Duarte Province, 2016 H.",70%,"2- B,S","dense, rich, nuanced",3.75
1880,2076,Potomac,U.S.A.,2018,Colombia,Tumaco,70%,"2- B,S","marshmallow, distinquished",4.0
1881,2538,Potomac,U.S.A.,2021,Uganda,"Semuliki Forest, batch 20035",75%,"2- B,S","light cocoa, dairy,faint cinnamon",3.75
1882,2622,Potomac,U.S.A.,2021,Peru,"Ucayali, batch 200105",70%,"2- B,S","anise, cocoa, dried fruit",3.75
1883,40,Pralus,France,2006,Vanuatu,Vanuatu,75%,"4- B,S,C,L","smoke dominates, mild fruit",3.0
1884,99,Pralus,France,2006,Cuba,Cuba,75%,"4- B,S,C,L","earthy, tobacco, mushroom",3.0
1885,99,Pralus,France,2006,Blend,"Caracas, Venezuela and Ghana",75%,"4- B,S,C,L","sandy, roasty, cocoa",3.0
